id,no,brand,weight,width,height
1,1,B,102,62,51
2,5,B,93,63,48
3,6,B,104,62,50
4,9,B,91,60,52
5,10,B,97,62,52
6,7,A,81,53,54
7,8,A,113,61,60
8,9,A,94,62,49
9,3,A,86,58,53
10,6,A,108,64,50
11,1,A,91,59,51
12,10,A,94,59,51
13,4,A,86,55,55
14,2,A,91,61,51
15,5,A,88,54,55
16,5,B,91,62,47
17,6,B,103,62,52
18,9,B,90,60,53
19,10,B,96,61,53
20,1,B,101,63,51
